,0,1,2,3,4,5,6,7,8,9,10
0,1.0,0.3333333333333333,1.0,0.25,1.0,1.0,1.0,0.25,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
3,1.0,1.0,0.14285714285714285,0.2,0.16666666666666666,0.2,0.2,0.14285714285714285,1.0,0.16666666666666666,1.0
4,0.2,0.14285714285714285,0.2,0.2,0.2,0.125,0.16666666666666666,0.125,0.25,0.2,0.25
5,0.5,0.5,0.5,0.3333333333333333,0.25,0.25,0.25,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333
6,0.25,0.25,0.25,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2,0.2,0.25,0.2
7,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3333333333333333,0.25,0.3333333333333333
8,0.16666666666666666,0.2,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.2,0.2,0.2
9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10,1.0,1.0,0.14285714285714285,0.2,0.16666666666666666,0.2,0.2,0.14285714285714285,1.0,0.16666666666666666,1.0
11,0.25,0.25,0.25,0.25,0.14285714285714285,0.2,0.25,0.14285714285714285,0.25,0.25,0.25
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.25,0.25,0.25,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2,0.2,0.25,0.2
14,0.16666666666666666,0.25,0.2,0.25,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.25,1.0,0.25
15,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333
16,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3333333333333333,0.25,0.3333333333333333
17,1.0,1.0,1.0,1.0,0.16666666666666666,0.25,1.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,0.14285714285714285,0.2,0.16666666666666666,0.2,0.2,0.14285714285714285,1.0,0.16666666666666666,1.0
21,1.0,0.16666666666666666,0.125,0.16666666666666666,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.125,0.2,0.14285714285714285,0.2
22,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
23,0.5,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333
24,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.1,0.1,0.1111111111111111,0.1
25,0.1111111111111111,0.125,0.1111111111111111,0.1,0.1,0.09090909090909091,0.1,0.1,0.1,0.1111111111111111,0.1
26,0.1111111111111111,0.125,0.1111111111111111,0.1,0.1,0.09090909090909091,0.1,0.1,0.1,0.1111111111111111,0.1
27,0.2,0.2,0.14285714285714285,0.2,0.16666666666666666,0.2,1.0,0.14285714285714285,0.25,0.16666666666666666,0.25
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,0.2,0.2,0.16666666666666666,1.0,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.2,0.3333333333333333
30,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0
31,0.16666666666666666,1.0,0.14285714285714285,0.14285714285714285,1.0,0.14285714285714285,0.125,0.125,1.0,1.0,1.0
32,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0
33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,0.16666666666666666,1.0,0.25,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
